frame,body_landmark,x,y,z,visibility,hand_label
1,NOSE,0.441582,0.683308,-0.885069,0.999986,N/A
1,LEFT_EYE_INNER,0.474341,0.623094,-0.837984,0.99998,N/A
1,LEFT_EYE,0.491487,0.62495,-0.837903,0.999978,N/A
1,LEFT_EYE_OUTER,0.506575,0.627355,-0.837594,0.999976,N/A
1,RIGHT_EYE_INNER,0.414016,0.618393,-0.830965,0.999974,N/A
1,RIGHT_EYE,0.393304,0.617926,-0.83078,0.999967,N/A
1,RIGHT_EYE_OUTER,0.375775,0.619477,-0.830907,0.999966,N/A
1,LEFT_EAR,0.530418,0.663716,-0.506247,0.999983,N/A
1,RIGHT_EAR,0.353887,0.661228,-0.468139,0.999969,N/A
1,MOUTH_LEFT,0.472061,0.764055,-0.758557,0.999974,N/A
1,MOUTH_RIGHT,0.406346,0.7579,-0.749822,0.999972,N/A
1,LEFT_SHOULDER,0.626011,0.963337,-0.299718,0.999182,N/A
1,RIGHT_SHOULDER,0.256102,0.953508,-0.266914,0.998339,N/A
1,LEFT_ELBOW,0.757257,1.334151,-0.793606,0.635633,N/A
1,RIGHT_ELBOW,0.121017,1.3583,-0.755717,0.681411,N/A
1,LEFT_WRIST,0.718522,1.018525,-1.357392,0.97567,N/A
1,RIGHT_WRIST,0.137411,1.073402,-1.510531,0.97678,N/A
1,LEFT_PINKY,0.744114,0.897643,-1.446227,0.968372,N/A
1,RIGHT_PINKY,0.122359,0.939549,-1.635929,0.964718,N/A
1,LEFT_INDEX,0.722463,0.872026,-1.365949,0.975301,N/A
1,RIGHT_INDEX,0.170285,0.902468,-1.563737,0.97296,N/A
1,LEFT_THUMB,0.717431,0.934701,-1.344202,0.966522,N/A
1,RIGHT_THUMB,0.170822,0.944932,-1.508335,0.966073,N/A
1,LEFT_HIP,0.563578,1.655398,-0.037196,0.001162,N/A
1,RIGHT_HIP,0.308361,1.659704,0.042047,0.00113,N/A
1,LEFT_KNEE,0.576233,2.206792,-0.242624,0.002123,N/A
1,RIGHT_KNEE,0.351052,2.217226,-0.260207,0.000849,N/A
1,LEFT_ANKLE,0.610334,2.720298,0.089097,2e-05,N/A
1,RIGHT_ANKLE,0.381162,2.72633,-0.128646,7e-06,N/A
